time,USD_JPY_close,USD_JPY_volume
2019-01-18T00:15:00.000000000Z,109.305,185
2019-01-18T00:20:00.000000000Z,109.294,139
2019-01-18T00:25:00.000000000Z,109.328,92
2019-01-18T00:30:00.000000000Z,109.338,137
2019-01-18T00:35:00.000000000Z,109.291,74
2019-01-18T00:40:00.000000000Z,109.318,103
2019-01-18T00:45:00.000000000Z,109.312,64
2019-01-18T00:50:00.000000000Z,109.332,224
2019-01-18T00:55:00.000000000Z,109.292,161
2019-01-18T01:00:00.000000000Z,109.263,114
2019-01-18T01:05:00.000000000Z,109.280,107
2019-01-18T01:10:00.000000000Z,109.272,62
2019-01-18T01:15:00.000000000Z,109.311,145
2019-01-18T01:20:00.000000000Z,109.331,80
2019-01-18T01:25:00.000000000Z,109.337,136
2019-01-18T01:30:00.000000000Z,109.322,246
2019-01-18T01:35:00.000000000Z,109.345,118
2019-01-18T01:40:00.000000000Z,109.374,146
2019-01-18T01:45:00.000000000Z,109.354,94
2019-01-18T01:50:00.000000000Z,109.359,102
2019-01-18T01:55:00.000000000Z,109.360,115
2019-01-18T02:00:00.000000000Z,109.332,99
2019-01-18T02:05:00.000000000Z,109.328,73
2019-01-18T02:10:00.000000000Z,109.309,107
2019-01-18T02:15:00.000000000Z,109.292,145
2019-01-18T02:20:00.000000000Z,109.312,118
2019-01-18T02:25:00.000000000Z,109.350,84
2019-01-18T02:30:00.000000000Z,109.340,68
2019-01-18T02:35:00.000000000Z,109.327,71
2019-01-18T02:40:00.000000000Z,109.332,48
2019-01-18T02:45:00.000000000Z,109.338,39
2019-01-18T02:50:00.000000000Z,109.318,46
2019-01-18T02:55:00.000000000Z,109.342,28
2019-01-18T03:00:00.000000000Z,109.334,42
2019-01-18T03:05:00.000000000Z,109.334,22
2019-01-18T03:10:00.000000000Z,109.337,35
2019-01-18T03:15:00.000000000Z,109.354,59
2019-01-18T03:20:00.000000000Z,109.333,92
2019-01-18T03:25:00.000000000Z,109.339,43
2019-01-18T03:30:00.000000000Z,109.340,54
2019-01-18T03:35:00.000000000Z,109.344,48
2019-01-18T03:40:00.000000000Z,109.353,18
2019-01-18T03:45:00.000000000Z,109.342,32
2019-01-18T03:50:00.000000000Z,109.362,31
2019-01-18T03:55:00.000000000Z,109.370,29
2019-01-18T04:00:00.000000000Z,109.354,25
2019-01-18T04:05:00.000000000Z,109.356,51
2019-01-18T04:10:00.000000000Z,109.346,28
2019-01-18T04:15:00.000000000Z,109.354,35
2019-01-18T04:20:00.000000000Z,109.391,77
2019-01-18T04:25:00.000000000Z,109.396,131
2019-01-18T04:30:00.000000000Z,109.387,50
2019-01-18T04:35:00.000000000Z,109.396,36
2019-01-18T04:40:00.000000000Z,109.386,17
2019-01-18T04:45:00.000000000Z,109.374,27
2019-01-18T04:50:00.000000000Z,109.372,16
2019-01-18T04:55:00.000000000Z,109.378,41
2019-01-18T05:00:00.000000000Z,109.391,30
2019-01-18T05:05:00.000000000Z,109.396,20
2019-01-18T05:10:00.000000000Z,109.426,37
2019-01-18T05:15:00.000000000Z,109.405,47
2019-01-18T05:20:00.000000000Z,109.402,31
2019-01-18T05:25:00.000000000Z,109.407,28
2019-01-18T05:30:00.000000000Z,109.416,24
2019-01-18T05:35:00.000000000Z,109.400,45
2019-01-18T05:40:00.000000000Z,109.398,35
2019-01-18T05:45:00.000000000Z,109.390,47
2019-01-18T05:50:00.000000000Z,109.372,34
2019-01-18T05:55:00.000000000Z,109.362,61
2019-01-18T06:00:00.000000000Z,109.374,63
2019-01-18T06:05:00.000000000Z,109.318,67
2019-01-18T06:10:00.000000000Z,109.340,50
2019-01-18T06:15:00.000000000Z,109.362,49
2019-01-18T06:20:00.000000000Z,109.352,50
2019-01-18T06:25:00.000000000Z,109.336,40
2019-01-18T06:30:00.000000000Z,109.345,42
2019-01-18T06:35:00.000000000Z,109.358,44
2019-01-18T06:40:00.000000000Z,109.386,46
2019-01-18T06:45:00.000000000Z,109.396,36
2019-01-18T06:50:00.000000000Z,109.369,47
2019-01-18T06:55:00.000000000Z,109.392,27
2019-01-18T07:00:00.000000000Z,109.401,70
2019-01-18T07:05:00.000000000Z,109.416,50
2019-01-18T07:10:00.000000000Z,109.456,66
2019-01-18T07:15:00.000000000Z,109.419,96
