time,EUR_USD_close,EUR_USD_volume
2018-04-17T12:14:00.000000000Z,1.23567,29
2018-04-17T12:15:00.000000000Z,1.23564,51
2018-04-17T12:16:00.000000000Z,1.23547,92
2018-04-17T12:17:00.000000000Z,1.23543,53
2018-04-17T12:18:00.000000000Z,1.23548,31
2018-04-17T12:19:00.000000000Z,1.23553,15
2018-04-17T12:20:00.000000000Z,1.23566,54
2018-04-17T12:21:00.000000000Z,1.23576,34
2018-04-17T12:22:00.000000000Z,1.23581,25
2018-04-17T12:23:00.000000000Z,1.23579,31
2018-04-17T12:24:00.000000000Z,1.23596,31
2018-04-17T12:25:00.000000000Z,1.23596,52
2018-04-17T12:26:00.000000000Z,1.23584,30
2018-04-17T12:27:00.000000000Z,1.23573,9
2018-04-17T12:28:00.000000000Z,1.23577,10
2018-04-17T12:29:00.000000000Z,1.23603,20
2018-04-17T12:30:00.000000000Z,1.23566,41
2018-04-17T12:31:00.000000000Z,1.23600,30
2018-04-17T12:32:00.000000000Z,1.23582,61
2018-04-17T12:33:00.000000000Z,1.23570,29
2018-04-17T12:34:00.000000000Z,1.23571,21
2018-04-17T12:35:00.000000000Z,1.23572,21
2018-04-17T12:36:00.000000000Z,1.23555,27
2018-04-17T12:37:00.000000000Z,1.23553,33
2018-04-17T12:38:00.000000000Z,1.23555,26
2018-04-17T12:39:00.000000000Z,1.23554,79
2018-04-17T12:40:00.000000000Z,1.23543,44
2018-04-17T12:41:00.000000000Z,1.23553,27
2018-04-17T12:42:00.000000000Z,1.23532,48
2018-04-17T12:43:00.000000000Z,1.23530,42
2018-04-17T12:44:00.000000000Z,1.23544,62
2018-04-17T12:45:00.000000000Z,1.23560,36
2018-04-17T12:46:00.000000000Z,1.23566,33
2018-04-17T12:47:00.000000000Z,1.23546,34
2018-04-17T12:48:00.000000000Z,1.23532,71
2018-04-17T12:49:00.000000000Z,1.23524,33
2018-04-17T12:50:00.000000000Z,1.23530,58
2018-04-17T12:51:00.000000000Z,1.23528,67
2018-04-17T12:52:00.000000000Z,1.23504,31
2018-04-17T12:53:00.000000000Z,1.23502,117
2018-04-17T12:54:00.000000000Z,1.23496,96
2018-04-17T12:55:00.000000000Z,1.23491,40
2018-04-17T12:56:00.000000000Z,1.23479,38
2018-04-17T12:57:00.000000000Z,1.23460,66
2018-04-17T12:58:00.000000000Z,1.23486,46
2018-04-17T12:59:00.000000000Z,1.23480,83
2018-04-17T13:00:00.000000000Z,1.23490,34
2018-04-17T13:01:00.000000000Z,1.23502,59
2018-04-17T13:02:00.000000000Z,1.23520,39
2018-04-17T13:03:00.000000000Z,1.23501,51
2018-04-17T13:04:00.000000000Z,1.23520,100
2018-04-17T13:05:00.000000000Z,1.23540,90
2018-04-17T13:06:00.000000000Z,1.23562,67
2018-04-17T13:07:00.000000000Z,1.23572,33
2018-04-17T13:08:00.000000000Z,1.23574,53
2018-04-17T13:09:00.000000000Z,1.23561,69
2018-04-17T13:10:00.000000000Z,1.23574,33
2018-04-17T13:11:00.000000000Z,1.23570,46
2018-04-17T13:12:00.000000000Z,1.23548,82
2018-04-17T13:13:00.000000000Z,1.23574,35
2018-04-17T13:14:00.000000000Z,1.23554,26
2018-04-17T13:15:00.000000000Z,1.23542,24
2018-04-17T13:16:00.000000000Z,1.23537,51
2018-04-17T13:17:00.000000000Z,1.23523,57
2018-04-17T13:18:00.000000000Z,1.23520,12
2018-04-17T13:19:00.000000000Z,1.23538,41
2018-04-17T13:20:00.000000000Z,1.23543,32
2018-04-17T13:21:00.000000000Z,1.23531,31
2018-04-17T13:22:00.000000000Z,1.23538,48
2018-04-17T13:23:00.000000000Z,1.23528,16
2018-04-17T13:24:00.000000000Z,1.23530,41
2018-04-17T13:25:00.000000000Z,1.23515,11
2018-04-17T13:26:00.000000000Z,1.23502,28
2018-04-17T13:27:00.000000000Z,1.23504,19
2018-04-17T13:28:00.000000000Z,1.23508,21
2018-04-17T13:29:00.000000000Z,1.23492,29
2018-04-17T13:30:00.000000000Z,1.23479,42
2018-04-17T13:31:00.000000000Z,1.23474,36
2018-04-17T13:32:00.000000000Z,1.23476,33
2018-04-17T13:33:00.000000000Z,1.23486,34
2018-04-17T13:34:00.000000000Z,1.23506,31
2018-04-17T13:35:00.000000000Z,1.23516,41
2018-04-17T13:36:00.000000000Z,1.23524,33
2018-04-17T13:37:00.000000000Z,1.23553,62
2018-04-17T13:38:00.000000000Z,1.23552,41
2018-04-17T13:39:00.000000000Z,1.23564,58
2018-04-17T13:40:00.000000000Z,1.23595,51
2018-04-17T13:41:00.000000000Z,1.23592,75
2018-04-17T13:42:00.000000000Z,1.23610,58
2018-04-17T13:43:00.000000000Z,1.23606,65
2018-04-17T13:44:00.000000000Z,1.23588,43
2018-04-17T13:45:00.000000000Z,1.23580,48
2018-04-17T13:46:00.000000000Z,1.23588,77
2018-04-17T13:47:00.000000000Z,1.23570,90
2018-04-17T13:48:00.000000000Z,1.23560,29
2018-04-17T13:49:00.000000000Z,1.23568,49
2018-04-17T13:50:00.000000000Z,1.23562,26
2018-04-17T13:51:00.000000000Z,1.23560,19
2018-04-17T13:52:00.000000000Z,1.23571,33
2018-04-17T13:53:00.000000000Z,1.23558,43
2018-04-17T13:54:00.000000000Z,1.23540,33
2018-04-17T13:55:00.000000000Z,1.23545,30
2018-04-17T13:56:00.000000000Z,1.23534,37
2018-04-17T13:57:00.000000000Z,1.23531,17
2018-04-17T13:58:00.000000000Z,1.23520,41
2018-04-17T13:59:00.000000000Z,1.23513,33
2018-04-17T14:00:00.000000000Z,1.23513,112
2018-04-17T14:01:00.000000000Z,1.23488,96
2018-04-17T14:02:00.000000000Z,1.23484,43
2018-04-17T14:03:00.000000000Z,1.23464,47
2018-04-17T14:04:00.000000000Z,1.23448,56
2018-04-17T14:05:00.000000000Z,1.23454,68
2018-04-17T14:06:00.000000000Z,1.23474,46
2018-04-17T14:07:00.000000000Z,1.23488,78
2018-04-17T14:08:00.000000000Z,1.23492,74
2018-04-17T14:09:00.000000000Z,1.23513,48
2018-04-17T14:10:00.000000000Z,1.23510,40
2018-04-17T14:11:00.000000000Z,1.23540,55
2018-04-17T14:12:00.000000000Z,1.23522,66
2018-04-17T14:13:00.000000000Z,1.23510,47
2018-04-17T14:14:00.000000000Z,1.23519,60
2018-04-17T14:15:00.000000000Z,1.23509,60
2018-04-17T14:16:00.000000000Z,1.23502,19
2018-04-17T14:17:00.000000000Z,1.23495,21
2018-04-17T14:18:00.000000000Z,1.23496,65
2018-04-17T14:19:00.000000000Z,1.23495,40
2018-04-17T14:20:00.000000000Z,1.23495,18
2018-04-17T14:21:00.000000000Z,1.23503,19
2018-04-17T14:22:00.000000000Z,1.23500,54
2018-04-17T14:23:00.000000000Z,1.23466,28
2018-04-17T14:24:00.000000000Z,1.23464,73
2018-04-17T14:25:00.000000000Z,1.23420,69
2018-04-17T14:26:00.000000000Z,1.23448,33
2018-04-17T14:27:00.000000000Z,1.23445,38
2018-04-17T14:28:00.000000000Z,1.23434,39
2018-04-17T14:29:00.000000000Z,1.23414,59
2018-04-17T14:30:00.000000000Z,1.23445,54
2018-04-17T14:31:00.000000000Z,1.23430,62
2018-04-17T14:32:00.000000000Z,1.23396,83
2018-04-17T14:33:00.000000000Z,1.23394,133
2018-04-17T14:34:00.000000000Z,1.23413,67
2018-04-17T14:35:00.000000000Z,1.23412,30
2018-04-17T14:36:00.000000000Z,1.23428,41
2018-04-17T14:37:00.000000000Z,1.23424,24
2018-04-17T14:38:00.000000000Z,1.23413,61
2018-04-17T14:39:00.000000000Z,1.23424,76
2018-04-17T14:40:00.000000000Z,1.23413,22
2018-04-17T14:41:00.000000000Z,1.23449,73
2018-04-17T14:42:00.000000000Z,1.23454,66
2018-04-17T14:43:00.000000000Z,1.23440,41
2018-04-17T14:44:00.000000000Z,1.23438,37
2018-04-17T14:45:00.000000000Z,1.23436,69
2018-04-17T14:46:00.000000000Z,1.23423,45
2018-04-17T14:47:00.000000000Z,1.23400,54
2018-04-17T14:48:00.000000000Z,1.23416,58
2018-04-17T14:49:00.000000000Z,1.23434,37
2018-04-17T14:50:00.000000000Z,1.23468,77
2018-04-17T14:51:00.000000000Z,1.23482,65
2018-04-17T14:52:00.000000000Z,1.23474,38
2018-04-17T14:53:00.000000000Z,1.23446,73
2018-04-17T14:54:00.000000000Z,1.23430,64
2018-04-17T14:55:00.000000000Z,1.23430,39
2018-04-17T14:56:00.000000000Z,1.23414,29
2018-04-17T14:57:00.000000000Z,1.23447,91
2018-04-17T14:58:00.000000000Z,1.23468,161
2018-04-17T14:59:00.000000000Z,1.23458,70
2018-04-17T15:00:00.000000000Z,1.23422,100
