time,EUR_USD_close,EUR_USD_volume,GBP_USD_close,GBP_USD_volume,USD_JPY_close,USD_JPY_volume,EUR_GBP_close,EUR_GBP_volume,EUR_JPY_close,EUR_JPY_volume,GBP_JPY_close,GBP_JPY_volume
2018-04-16T02:40:00.000000000Z,1.23383,12.0,1.42589,7.0,107.292,9.0,0.86530,3.0,132.382,5.0,152.990,12.0
2018-04-16T02:41:00.000000000Z,1.23380,1.0,1.42592,6.0,107.285,5.0,0.86528,1.0,132.368,4.0,152.984,5.0
2018-04-16T02:42:00.000000000Z,1.23383,13.0,1.42592,10.0,107.280,10.0,0.86528,4.0,132.369,4.0,152.978,10.0
2018-04-16T02:43:00.000000000Z,1.23385,2.0,1.42591,12.0,107.276,12.0,0.86528,4.0,132.362,10.0,152.969,18.0
2018-04-16T02:44:00.000000000Z,1.23383,14.0,1.42590,6.0,107.284,4.0,0.86530,3.0,132.372,3.0,152.978,8.0
2018-04-16T02:45:00.000000000Z,1.23380,17.0,1.42579,16.0,107.283,23.0,0.86533,3.0,132.366,16.0,152.966,33.0
2018-04-16T02:46:00.000000000Z,1.23380,17.0,1.42578,4.0,107.284,3.0,0.86533,3.0,132.366,4.0,152.970,3.0
2018-04-16T02:47:00.000000000Z,1.23396,19.0,1.42581,7.0,107.254,18.0,0.86542,4.0,132.346,10.0,152.926,24.0
2018-04-16T02:48:00.000000000Z,1.23395,2.0,1.42580,8.0,107.246,15.0,0.86542,2.0,132.340,6.0,152.920,15.0
2018-04-16T02:49:00.000000000Z,1.23384,4.0,1.42580,3.0,107.256,10.0,0.86537,2.0,132.336,5.0,152.930,10.0
2018-04-16T02:50:00.000000000Z,1.23384,4.0,1.42580,3.0,107.242,7.0,0.86537,2.0,132.320,4.0,152.910,8.0
2018-04-16T02:51:00.000000000Z,1.23376,17.0,1.42580,13.0,107.242,18.0,0.86534,1.0,132.312,12.0,152.906,25.0
2018-04-16T02:52:00.000000000Z,1.23388,14.0,1.42581,7.0,107.236,5.0,0.86534,1.0,132.313,2.0,152.904,5.0
2018-04-16T02:53:00.000000000Z,1.23395,30.0,1.42598,39.0,107.212,34.0,0.86536,12.0,132.296,23.0,152.878,55.0
2018-04-16T02:54:00.000000000Z,1.23406,6.0,1.42600,16.0,107.186,41.0,0.86536,2.0,132.271,25.0,152.850,49.0
2018-04-16T02:55:00.000000000Z,1.23408,2.0,1.42601,4.0,107.210,30.0,0.86536,2.0,132.303,17.0,152.889,28.0
