time,EUR_USD_close,EUR_USD_volume,GBP_USD_close,GBP_USD_volume,EUR_GBP_close,EUR_GBP_volume
2018-04-16T13:44:00.000000000Z,1.23831,22.0,1.43192,48.0,0.86477,16.0
2018-04-16T13:45:00.000000000Z,1.23848,59.0,1.43222,25.0,0.86473,17.0
2018-04-16T13:46:00.000000000Z,1.23844,25.0,1.43213,28.0,0.86477,14.0
2018-04-16T13:47:00.000000000Z,1.23858,31.0,1.43218,51.0,0.86484,21.0
2018-04-16T13:48:00.000000000Z,1.23876,32.0,1.43246,40.0,0.86479,20.0
2018-04-16T13:49:00.000000000Z,1.23847,60.0,1.43226,98.0,0.86472,9.0
2018-04-16T13:50:00.000000000Z,1.23844,63.0,1.43234,91.0,0.86463,29.0
2018-04-16T13:51:00.000000000Z,1.23848,58.0,1.43232,86.0,0.86470,15.0
2018-04-16T13:52:00.000000000Z,1.23850,29.0,1.43242,24.0,0.86464,13.0
2018-04-16T13:53:00.000000000Z,1.23868,36.0,1.43271,61.0,0.86458,11.0
2018-04-16T13:54:00.000000000Z,1.23882,49.0,1.43316,110.0,0.86443,26.0
2018-04-16T13:55:00.000000000Z,1.23863,42.0,1.43290,78.0,0.86442,11.0
2018-04-16T13:56:00.000000000Z,1.23861,56.0,1.43260,77.0,0.86459,20.0
2018-04-16T13:57:00.000000000Z,1.23868,44.0,1.43260,63.0,0.86466,9.0
2018-04-16T13:58:00.000000000Z,1.23858,26.0,1.43282,50.0,0.86446,18.0
2018-04-16T13:59:00.000000000Z,1.23891,33.0,1.43329,15.0,0.86441,13.0
2018-04-16T14:00:00.000000000Z,1.23915,95.0,1.43370,110.0,0.86431,44.0
2018-04-16T14:01:00.000000000Z,1.23890,93.0,1.43334,91.0,0.86435,20.0
2018-04-16T14:02:00.000000000Z,1.23873,79.0,1.43324,101.0,0.86431,26.0
2018-04-16T14:03:00.000000000Z,1.23878,43.0,1.43300,64.0,0.86448,23.0
2018-04-16T14:04:00.000000000Z,1.23864,49.0,1.43282,62.0,0.86452,20.0
2018-04-16T14:05:00.000000000Z,1.23868,79.0,1.43288,49.0,0.86442,18.0
2018-04-16T14:06:00.000000000Z,1.23846,35.0,1.43267,48.0,0.86442,18.0
2018-04-16T14:07:00.000000000Z,1.23848,56.0,1.43250,72.0,0.86457,14.0
2018-04-16T14:08:00.000000000Z,1.23858,43.0,1.43255,57.0,0.86463,11.0
2018-04-16T14:09:00.000000000Z,1.23851,18.0,1.43242,51.0,0.86463,12.0
2018-04-16T14:10:00.000000000Z,1.23848,30.0,1.43242,19.0,0.86461,9.0
2018-04-16T14:11:00.000000000Z,1.23855,83.0,1.43260,38.0,0.86454,11.0
2018-04-16T14:12:00.000000000Z,1.23879,44.0,1.43273,25.0,0.86464,9.0
2018-04-16T14:13:00.000000000Z,1.23868,54.0,1.43276,57.0,0.86456,19.0
2018-04-16T14:14:00.000000000Z,1.23866,43.0,1.43265,43.0,0.86463,11.0
2018-04-16T14:15:00.000000000Z,1.23870,47.0,1.43270,49.0,0.86462,13.0
2018-04-16T14:16:00.000000000Z,1.23872,37.0,1.43278,48.0,0.86458,14.0
2018-04-16T14:17:00.000000000Z,1.23866,48.0,1.43256,57.0,0.86466,12.0
2018-04-16T14:18:00.000000000Z,1.23858,44.0,1.43242,83.0,0.86466,18.0
2018-04-16T14:19:00.000000000Z,1.23856,14.0,1.43250,10.0,0.86462,10.0
2018-04-16T14:20:00.000000000Z,1.23853,20.0,1.43240,29.0,0.86462,10.0
2018-04-16T14:21:00.000000000Z,1.23834,55.0,1.43227,49.0,0.86460,10.0
2018-04-16T14:22:00.000000000Z,1.23836,40.0,1.43205,63.0,0.86473,23.0
2018-04-16T14:23:00.000000000Z,1.23824,40.0,1.43178,61.0,0.86481,17.0
2018-04-16T14:24:00.000000000Z,1.23817,49.0,1.43177,64.0,0.86476,18.0
2018-04-16T14:25:00.000000000Z,1.23822,48.0,1.43178,103.0,0.86482,21.0
2018-04-16T14:26:00.000000000Z,1.23825,17.0,1.43168,78.0,0.86488,24.0
2018-04-16T14:27:00.000000000Z,1.23795,65.0,1.43157,122.0,0.86476,26.0
2018-04-16T14:28:00.000000000Z,1.23830,34.0,1.43190,60.0,0.86479,9.0
2018-04-16T14:29:00.000000000Z,1.23812,35.0,1.43194,71.0,0.86466,20.0
2018-04-16T14:30:00.000000000Z,1.23804,37.0,1.43200,40.0,0.86454,9.0
2018-04-16T14:31:00.000000000Z,1.23775,71.0,1.43149,59.0,0.86464,20.0
2018-04-16T14:32:00.000000000Z,1.23780,25.0,1.43168,59.0,0.86456,9.0
2018-04-16T14:33:00.000000000Z,1.23794,47.0,1.43206,47.0,0.86447,10.0
2018-04-16T14:34:00.000000000Z,1.23808,37.0,1.43217,43.0,0.86452,8.0
2018-04-16T14:35:00.000000000Z,1.23820,25.0,1.43224,45.0,0.86454,7.0
2018-04-16T14:36:00.000000000Z,1.23790,29.0,1.43184,51.0,0.86456,13.0
2018-04-16T14:37:00.000000000Z,1.23780,28.0,1.43161,51.0,0.86461,10.0
2018-04-16T14:38:00.000000000Z,1.23774,30.0,1.43150,28.0,0.86465,11.0
2018-04-16T14:39:00.000000000Z,1.23786,31.0,1.43160,88.0,0.86462,5.0
2018-04-16T14:40:00.000000000Z,1.23790,18.0,1.43154,38.0,0.86475,8.0
2018-04-16T14:41:00.000000000Z,1.23805,21.0,1.43180,22.0,0.86468,5.0
2018-04-16T14:42:00.000000000Z,1.23809,27.0,1.43182,22.0,0.86473,6.0
2018-04-16T14:43:00.000000000Z,1.23798,38.0,1.43164,48.0,0.86473,10.0
2018-04-16T14:44:00.000000000Z,1.23780,58.0,1.43172,78.0,0.86456,21.0
2018-04-16T14:45:00.000000000Z,1.23777,22.0,1.43170,14.0,0.86456,4.0
